Date,Time,Seller,Buyer,price,amountEnergy
01/01/1995,21:03:01,9717KH6,9733AB50,0.19,1.8309695362559997E7
01/01/1995,21:03:01,9717KH6,1111HJ60b,0.19,1.8309695362559997E7
01/01/1995,21:03:01,9717KH6,8748NJ373,0.19,1.3033013736959998E7
02/01/1995,21:31:49,9717KH6,9733AB50,0.19,4271360.7435337035
02/01/1995,21:31:49,9717KH6,8748NJ373,0.19,3296518.4526262963
03/01/1995,02:25:34,9717KH6,9733AB50,0.19,1302881.5489462959
03/01/1995,02:25:34,9717KH6,8748NJ373,0.19,92818.8942262968
03/01/1995,02:25:34,9717KH6,8748NJ373,0.19,2242848.383561109
03/01/1995,02:25:34,9717KH6,8748NJ373,0.19,1581855.6169874072
03/01/1995,02:25:34,9717KH6,8748NJ373,0.19,132807.2186514819
03/01/1995,07:19:20,9717KH6,1111HJ60b,0.19,5255279.900013703
03/01/1995,07:19:20,9717KH6,9733AB50,0.19,6929954.411227407
03/01/1995,07:19:20,9717KH6,8748NJ373,0.19,4329304.181467406
03/01/1995,07:19:20,9717KH6,9733AB50,0.19,1395700.4431725927
03/01/1995,07:19:20,9717KH6,9471KN24,0.19,1857933.5454687094
03/01/1995,12:13:06,9717KH6,1111HJ60b,0.19,2353105.005933703
03/01/1995,12:13:06,9717KH6,9733AB50,0.19,2903323.7647725902
03/01/1995,12:13:06,9717KH6,8748NJ373,0.19,550218.7588388873
03/01/1995,12:13:06,9717KH6,9471KN24,0.19,134792.2424318567
03/01/1995,12:13:06,9717KH6,8748NJ373,0.19,894354.3068155646
03/01/1995,17:06:51,9717KH6,9733AB50,0.19,3067565.8777596448
03/01/1995,17:06:51,9717KH6,1111HJ60b,0.19,7014213.825243342
03/01/1995,17:06:51,9717KH6,9471KN24,0.19,4685046.041194273
17/01/1995,21:26:03,9717KH6,8748NJ373,0.19,7421608.22754775
18/01/1995,00:30:22,9717KH6,1111HJ60b,0.19,7421608.22754775
18/01/1995,00:30:22,9717KH6,9733AB50,0.19,7421608.22754775
18/01/1995,00:30:22,9717KH6,9471KN24,0.19,7421608.22754775
18/01/1995,02:19:49,9717KH6,8748NJ373,0.19,7857797.256153688
19/01/1995,07:42:22,9717KH6,8748NJ373,0.19,8493658.115762234
19/01/1995,10:46:42,9717KH6,9733AB50,0.19,8493658.115762234
19/01/1995,10:46:42,9717KH6,1111HJ60b,0.19,7082215.289682016
19/01/1995,15:40:27,9717KH6,9733AB50,0.19,7082215.289682016
19/01/1995,17:29:54,9717KH6,8748NJ373,0.19,8493658.115762234
19/01/1995,20:34:13,9717KH6,9733AB50,0.19,8493658.115762234
19/01/1995,20:34:13,9717KH6,1111HJ60b,0.19,7082215.289682016
20/01/1995,01:27:58,9717KH6,9733AB50,0.19,7082215.289682016
20/01/1995,03:17:25,9717KH6,8748NJ373,0.19,8493658.115762234
20/01/1995,06:21:44,9717KH6,1111HJ60b,0.19,8493658.115762234
20/01/1995,06:21:44,9717KH6,9733AB50,0.19,8493658.115762234
20/01/1995,06:21:44,9717KH6,9471KN24,0.19,8493658.115762234
20/01/1995,08:11:10,9717KH6,8748NJ373,0.19,4641647.591510236
20/01/1995,11:15:30,9717KH6,9733AB50,0.19,4641647.591510236
20/01/1995,11:15:30,9717KH6,9471KN24,0.19,4641647.591510236
