Date,Time,amount
01/01/1995,16:09:15,500209.6899594888
01/01/1995,21:03:01,500209.6899594888
02/01/1995,01:56:46,1065568.4355594907
02/01/1995,06:50:32,-2277723.839853703
02/01/1995,11:44:18,-2277723.839853703
02/01/1995,16:38:03,-2277723.839853703
02/01/1995,21:31:49,-2277723.839853703
03/01/1995,02:25:34,-2503867.3380937027
03/01/1995,07:19:20,-7153201.769907597
03/01/1995,12:13:06,-7153201.769907597
03/01/1995,17:06:51,-7153201.769907597
03/01/1995,22:00:37,-7153201.769907597
04/01/1995,02:54:22,-3186562.758221712
04/01/1995,07:48:08,-3186562.758221712
04/01/1995,12:41:54,-3186562.758221712
04/01/1995,17:35:39,-3186562.758221712
04/01/1995,22:29:25,-3186562.758221712
05/01/1995,03:23:10,-1055776.6416761223
05/01/1995,08:16:56,-1055776.6416761223
05/01/1995,13:10:42,-1055776.6416761223
05/01/1995,18:04:27,-1055776.6416761223
05/01/1995,22:58:13,-1055776.6416761223
06/01/1995,03:51:58,-6548596.379308053
06/01/1995,08:45:44,-6548596.379308053
06/01/1995,13:39:30,-6548596.379308053
09/01/1995,20:39:58,-1.02513069347799E8
10/01/1995,01:33:44,-4446094.733968334
10/01/1995,06:27:30,-2918463.751533702
10/01/1995,11:21:15,-2918463.751533702
10/01/1995,16:15:01,-2918463.751533702
10/01/1995,21:08:46,-2918463.751533702
11/01/1995,02:02:32,-405758.2155337017
11/01/1995,06:56:18,513075.9709873777
11/01/1995,11:50:03,513075.9709873777
11/01/1995,16:43:49,513075.9709873777
11/01/1995,21:37:34,513075.9709873777
12/01/1995,02:31:20,-2347985.611408335
12/01/1995,07:25:06,-2347985.611408335
12/01/1995,12:18:51,-2347985.611408335
12/01/1995,17:12:37,-2347985.611408335
12/01/1995,22:06:22,-2347985.611408335
13/01/1995,03:00:08,-6487150.397049495
13/01/1995,07:53:54,-6487150.397049495
13/01/1995,12:47:39,-6487150.397049495
13/01/1995,17:41:25,-6487150.397049495
13/01/1995,22:35:10,-6487150.397049495
14/01/1995,03:28:56,-6208029.71191661
14/01/1995,08:22:42,-6208029.71191661
14/01/1995,13:16:27,-6208029.71191661
14/01/1995,18:10:13,-6208029.71191661
14/01/1995,23:03:58,-6208029.71191661
15/01/1995,03:57:44,-7464382.47991661
15/01/1995,08:51:30,-7464382.47991661
15/01/1995,13:45:15,-7464382.47991661
15/01/1995,18:39:01,-7464382.47991661
15/01/1995,23:32:46,-7464382.47991661
16/01/1995,04:26:32,162885.5432838779
16/01/1995,09:20:18,162885.5432838779
16/01/1995,14:14:03,162885.5432838779
16/01/1995,19:07:49,162885.5432838779
17/01/1995,00:01:34,-854760.1987961214
17/01/1995,04:55:20,3301876.362599492
17/01/1995,09:49:06,3301876.362599492
17/01/1995,14:42:51,3301876.362599492
17/01/1995,19:36:37,3301876.362599492
18/01/1995,00:30:22,889679.0480394922
18/01/1995,05:24:08,-4602905.6277388
18/01/1995,10:17:54,-4602905.6277388
18/01/1995,15:11:39,-4602905.6277388
18/01/1995,20:05:25,-4602905.6277388
19/01/1995,00:59:10,-3158099.944538801
19/01/1995,05:52:56,-89973.35765262507
19/01/1995,10:46:42,-89973.35765262507
19/01/1995,15:40:27,-89973.35765262507
19/01/1995,20:34:13,-89973.35765262507
20/01/1995,01:27:58,613584.1924273763
20/01/1995,06:21:44,3038042.2813194916
20/01/1995,11:15:30,3038042.2813194916
20/01/1995,16:09:15,3038042.2813194916
20/01/1995,21:03:01,3038042.2813194916
21/01/1995,01:56:46,3213931.66883949
21/01/1995,06:50:32,3213931.66883949
21/01/1995,11:44:18,3213931.66883949
21/01/1995,16:38:03,3213931.66883949
21/01/1995,21:31:49,3213931.66883949
22/01/1995,02:25:34,424828.5238794908
22/01/1995,07:19:20,-5603224.602315969
22/01/1995,12:13:06,-5603224.602315969
22/01/1995,17:06:51,-5603224.602315969
22/01/1995,22:00:37,-5603224.602315969
23/01/1995,02:54:22,1.1453224612813752E7
23/01/1995,07:48:08,1.1453224612813752E7
23/01/1995,12:41:54,1.1453224612813752E7
23/01/1995,17:35:39,1.1453224612813752E7
23/01/1995,22:29:25,1.1453224612813752E7
24/01/1995,03:23:10,2585755.2848394886
24/01/1995,08:16:56,2585755.2848394886
24/01/1995,13:10:42,2585755.2848394886
24/01/1995,18:04:27,2585755.2848394886
24/01/1995,22:58:13,2585755.2848394886
25/01/1995,03:51:58,-6201809.401421712
25/01/1995,08:45:44,-6201809.401421712
25/01/1995,13:39:30,-6201809.401421712
25/01/1995,18:33:15,-6201809.401421712
25/01/1995,23:27:01,-6201809.401421712
26/01/1995,04:20:46,-5821567.812698799
26/01/1995,09:14:32,-5821567.812698799
26/01/1995,14:08:18,-5821567.812698799
26/01/1995,19:02:03,-5821567.812698799
26/01/1995,23:55:49,-5821567.812698799
27/01/1995,04:49:34,-3583603.8468280537
27/01/1995,09:43:20,-3583603.8468280537
27/01/1995,14:37:06,-3583603.8468280537
27/01/1995,19:30:51,-3583603.8468280537
28/01/1995,00:24:37,-4337415.507628053
28/01/1995,05:18:22,5631603.080056867
